date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:14	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225808741e-4e9f%22	http://laread.evmet.net/html/live-preview/assets/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/fonts/glyphicons-halflings-regulard41d.eot	(from http://laread.evmet.net/html/live-preview/assets/css/bootstrap.min.css)
11:25:17	18028/18028	---M--	200	added ('OK')	font/woff2	etag:%2258087421-466c%22	http://laread.evmet.net/html/live-preview/assets/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/fonts/glyphicons-halflings-regular.woff2	(from http://laread.evmet.net/html/live-preview/assets/css/bootstrap.min.css)
11:25:22	23424/23424	---M--	200	added ('OK')	application/x-font-woff	etag:%2258087420-5b80%22	http://laread.evmet.net/html/live-preview/assets/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/fonts/glyphicons-halflings-regular.woff	(from http://laread.evmet.net/html/live-preview/assets/css/bootstrap.min.css)
11:25:29	806739/806739	---M--	200	added ('OK')	image/jpeg	etag:%2258087748-c4f53%22	http://laread.evmet.net/html/live-preview/assets/img/banner-42.jpg	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/img/banner-42.jpg	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:25:29	45404/45404	---M--	200	added ('OK')	application/x-font-ttf	etag:%2258087420-b15c%22	http://laread.evmet.net/html/live-preview/assets/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/fonts/glyphicons-halflings-regular.ttf	(from http://laread.evmet.net/html/live-preview/assets/css/bootstrap.min.css)
11:25:31	108738/108738	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2258087420-1a8c2%22	http://laread.evmet.net/html/live-preview/assets/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/fonts/glyphicons-halflings-regular.svg	(from http://laread.evmet.net/html/live-preview/assets/css/bootstrap.min.css)
11:25:32	762987/762987	---M--	200	added ('OK')	image/jpeg	etag:%225808775c-ba46b%22	http://laread.evmet.net/html/live-preview/assets/img/banner-44.jpg	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/img/banner-44.jpg	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:25:42	659742/659742	---M--	200	added ('OK')	image/jpeg	etag:%2258087838-a111e%22	http://laread.evmet.net/html/live-preview/assets/img/banner-85-1.jpg	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/img/banner-85-1.jpg	(from http://laread.evmet.net/html/live-preview/large-image-v1-1.html)
11:25:43	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2258087414-12ae6%22	http://laread.evmet.net/html/live-preview/assets/fonts/fontawesome-webfont.eot?v=4.6.3	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/fonts/fontawesome-webfont5b62.eot	(from http://laread.evmet.net/html/live-preview/assets/css/font-awesome.min.css)
11:25:43	76518/76518	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%2258087414-12ae6%22	http://laread.evmet.net/html/live-preview/assets/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/fonts/fontawesome-webfontd41d.eot	(from http://laread.evmet.net/html/live-preview/assets/css/font-awesome.min.css)
11:25:44	71896/71896	---M--	200	added ('OK')	font/woff2	etag:%225808741c-118d8%22	http://laread.evmet.net/html/live-preview/assets/fonts/fontawesome-webfont.woff2?v=4.6.3	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/fonts/fontawesome-webfont5b62.woff2	(from http://laread.evmet.net/html/live-preview/assets/css/font-awesome.min.css)
11:25:46	3897/3897	---M--	200	added ('OK')	image/gif	etag:%22580878ed-f39%22	http://laread.evmet.net/html/live-preview/assets/img/loading.gif	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/img/loading.gif	(from http://laread.evmet.net/html/live-preview/assets/css/bootstrap-gallery.css)
11:25:47	532/532	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2031%20Aug%202020%2005:55:43%20GMT	http://laread.evmet.net/html/live-preview/assets/img/error.png	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/img/error.png	(from http://laread.evmet.net/html/live-preview/assets/css/bootstrap-gallery.css)
11:25:48	532/532	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2031%20Aug%202020%2005:55:43%20GMT	http://laread.evmet.net/html/live-preview/assets/img/play-pause.png	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/img/play-pause.png	(from http://laread.evmet.net/html/live-preview/assets/css/bootstrap-gallery.css)
11:25:49	532/532	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Mon,%2031%20Aug%202020%2005:55:45%20GMT	http://laread.evmet.net/html/live-preview/assets/img/error.svg	C:/My%20Web%20Sites/First1/laread.evmet.net/html/live-preview/assets/img/error.svg	(from http://laread.evmet.net/html/live-preview/assets/css/bootstrap-gallery.css)
